PK,DataCompleta,DiaDaSemana,MesTxt,Ano,AnoMes,MesTxtAno,DiaDaSemanaNum,DiaDoMes,DiaDoAno,MesDoAno,SemanaDoAno
20100509,May 09 2010,Sunday,May,2010,201005,May2010,1,9,129,5,20
20100510,May 10 2010,Monday,May,2010,201005,May2010,2,10,130,5,20
20100511,May 11 2010,Tuesday,May,2010,201005,May2010,3,11,131,5,20
20100512,May 12 2010,Wednesday,May,2010,201005,May2010,4,12,132,5,20
20100513,May 13 2010,Thursday,May,2010,201005,May2010,5,13,133,5,20
20100514,May 14 2010,Friday,May,2010,201005,May2010,6,14,134,5,20
20100515,May 15 2010,Saturday,May,2010,201005,May2010,7,15,135,5,20
20100516,May 16 2010,Sunday,May,2010,201005,May2010,1,16,136,5,21
20100517,May 17 2010,Monday,May,2010,201005,May2010,2,17,137,5,21
20100518,May 18 2010,Tuesday,May,2010,201005,May2010,3,18,138,5,21
20100519,May 19 2010,Wednesday,May,2010,201005,May2010,4,19,139,5,21
20100520,May 20 2010,Thursday,May,2010,201005,May2010,5,20,140,5,21
20100521,May 21 2010,Friday,May,2010,201005,May2010,6,21,141,5,21
20100522,May 22 2010,Saturday,May,2010,201005,May2010,7,22,142,5,21
20100523,May 23 2010,Sunday,May,2010,201005,May2010,1,23,143,5,22
20100524,May 24 2010,Monday,May,2010,201005,May2010,2,24,144,5,22
20100525,May 25 2010,Tuesday,May,2010,201005,May2010,3,25,145,5,22
20100526,May 26 2010,Wednesday,May,2010,201005,May2010,4,26,146,5,22
20100527,May 27 2010,Thursday,May,2010,201005,May2010,5,27,147,5,22
20100528,May 28 2010,Friday,May,2010,201005,May2010,6,28,148,5,22
20100529,May 29 2010,Saturday,May,2010,201005,May2010,7,29,149,5,22
20100530,May 30 2010,Sunday,May,2010,201005,May2010,1,30,150,5,23
20100531,May 31 2010,Monday,May,2010,201005,May2010,2,31,151,5,23
20100601,June 01 2010,Tuesday,June,2010,201006,Jun2010,3,1,152,6,23
20100602,June 02 2010,Wednesday,June,2010,201006,Jun2010,4,2,153,6,23
20100603,June 03 2010,Thursday,June,2010,201006,Jun2010,5,3,154,6,23
20100604,June 04 2010,Friday,June,2010,201006,Jun2010,6,4,155,6,23
20100605,June 05 2010,Saturday,June,2010,201006,Jun2010,7,5,156,6,23
20100606,June 06 2010,Sunday,June,2010,201006,Jun2010,1,6,157,6,24
20100607,June 07 2010,Monday,June,2010,201006,Jun2010,2,7,158,6,24
20100608,June 08 2010,Tuesday,June,2010,201006,Jun2010,3,8,159,6,24
20100609,June 09 2010,Wednesday,June,2010,201006,Jun2010,4,9,160,6,24
20100610,June 10 2010,Thursday,June,2010,201006,Jun2010,5,10,161,6,24
20100611,June 11 2010,Friday,June,2010,201006,Jun2010,6,11,162,6,24
20100612,June 12 2010,Saturday,June,2010,201006,Jun2010,7,12,163,6,24
20100613,June 13 2010,Sunday,June,2010,201006,Jun2010,1,13,164,6,25
20100614,June 14 2010,Monday,June,2010,201006,Jun2010,2,14,165,6,25
20100615,June 15 2010,Tuesday,June,2010,201006,Jun2010,3,15,166,6,25
20100616,June 16 2010,Wednesday,June,2010,201006,Jun2010,4,16,167,6,25
20100617,June 17 2010,Thursday,June,2010,201006,Jun2010,5,17,168,6,25
20100618,June 18 2010,Friday,June,2010,201006,Jun2010,6,18,169,6,25
20100619,June 19 2010,Saturday,June,2010,201006,Jun2010,7,19,170,6,25
20100620,June 20 2010,Sunday,June,2010,201006,Jun2010,1,20,171,6,26
20100621,June 21 2010,Monday,June,2010,201006,Jun2010,2,21,172,6,26
20100622,June 22 2010,Tuesday,June,2010,201006,Jun2010,3,22,173,6,26
20100623,June 23 2010,Wednesday,June,2010,201006,Jun2010,4,23,174,6,26
20100624,June 24 2010,Thursday,June,2010,201006,Jun2010,5,24,175,6,26
20100625,June 25 2010,Friday,June,2010,201006,Jun2010,6,25,176,6,26
20100626,June 26 2010,Saturday,June,2010,201006,Jun2010,7,26,177,6,26
20100627,June 27 2010,Sunday,June,2010,201006,Jun2010,1,27,178,6,27
20100628,June 28 2010,Monday,June,2010,201006,Jun2010,2,28,179,6,27
20100629,June 29 2010,Tuesday,June,2010,201006,Jun2010,3,29,180,6,27
20100630,June 30 2010,Wednesday,June,2010,201006,Jun2010,4,30,181,6,27
20100701,July 01 2010,Thursday,July,2010,201007,Jul2010,5,1,182,7,27
20100702,July 02 2010,Friday,July,2010,201007,Jul2010,6,2,183,7,27
20100703,July 03 2010,Saturday,July,2010,201007,Jul2010,7,3,184,7,27
20100704,July 04 2010,Sunday,July,2010,201007,Jul2010,1,4,185,7,28
20100705,July 05 2010,Monday,July,2010,201007,Jul2010,2,5,186,7,28
20100706,July 06 2010,Tuesday,July,2010,201007,Jul2010,3,6,187,7,28
20100707,July 07 2010,Wednesday,July,2010,201007,Jul2010,4,7,188,7,28
20100708,July 08 2010,Thursday,July,2010,201007,Jul2010,5,8,189,7,28
20100709,July 09 2010,Friday,July,2010,201007,Jul2010,6,9,190,7,28
20100710,July 10 2010,Saturday,July,2010,201007,Jul2010,7,10,191,7,28
20100711,July 11 2010,Sunday,July,2010,201007,Jul2010,1,11,192,7,29
20100712,July 12 2010,Monday,July,2010,201007,Jul2010,2,12,193,7,29
20100713,July 13 2010,Tuesday,July,2010,201007,Jul2010,3,13,194,7,29
20100714,July 14 2010,Wednesday,July,2010,201007,Jul2010,4,14,195,7,29
20100715,July 15 2010,Thursday,July,2010,201007,Jul2010,5,15,196,7,29
20100716,July 16 2010,Friday,July,2010,201007,Jul2010,6,16,197,7,29
20100717,July 17 2010,Saturday,July,2010,201007,Jul2010,7,17,198,7,29
20100718,July 18 2010,Sunday,July,2010,201007,Jul2010,1,18,199,7,30
20100719,July 19 2010,Monday,July,2010,201007,Jul2010,2,19,200,7,30
20100720,July 20 2010,Tuesday,July,2010,201007,Jul2010,3,20,201,7,30
20100721,July 21 2010,Wednesday,July,2010,201007,Jul2010,4,21,202,7,30
20100722,July 22 2010,Thursday,July,2010,201007,Jul2010,5,22,203,7,30
20100723,July 23 2010,Friday,July,2010,201007,Jul2010,6,23,204,7,30
20100724,July 24 2010,Saturday,July,2010,201007,Jul2010,7,24,205,7,30
20100725,July 25 2010,Sunday,July,2010,201007,Jul2010,1,25,206,7,31
20100726,July 26 2010,Monday,July,2010,201007,Jul2010,2,26,207,7,31
20100727,July 27 2010,Tuesday,July,2010,201007,Jul2010,3,27,208,7,31
20100728,July 28 2010,Wednesday,July,2010,201007,Jul2010,4,28,209,7,31
20100729,July 29 2010,Thursday,July,2010,201007,Jul2010,5,29,210,7,31
20100730,July 30 2010,Friday,July,2010,201007,Jul2010,6,30,211,7,31
20100731,July 31 2010,Saturday,July,2010,201007,Jul2010,7,31,212,7,31
20100801,August 01 2010,Sunday,August,2010,201008,Aug2010,1,1,213,8,32
20100802,August 02 2010,Monday,August,2010,201008,Aug2010,2,2,214,8,32
20100803,August 03 2010,Tuesday,August,2010,201008,Aug2010,3,3,215,8,32
20100804,August 04 2010,Wednesday,August,2010,201008,Aug2010,4,4,216,8,32
20100805,August 05 2010,Thursday,August,2010,201008,Aug2010,5,5,217,8,32
20100806,August 06 2010,Friday,August,2010,201008,Aug2010,6,6,218,8,32
20100807,August 07 2010,Saturday,August,2010,201008,Aug2010,7,7,219,8,32
20100808,August 08 2010,Sunday,August,2010,201008,Aug2010,1,8,220,8,33
20100809,August 09 2010,Monday,August,2010,201008,Aug2010,2,9,221,8,33
20100810,August 10 2010,Tuesday,August,2010,201008,Aug2010,3,10,222,8,33
20100811,August 11 2010,Wednesday,August,2010,201008,Aug2010,4,11,223,8,33
20100812,August 12 2010,Thursday,August,2010,201008,Aug2010,5,12,224,8,33
20100813,August 13 2010,Friday,August,2010,201008,Aug2010,6,13,225,8,33
20100814,August 14 2010,Saturday,August,2010,201008,Aug2010,7,14,226,8,33
20100815,August 15 2010,Sunday,August,2010,201008,Aug2010,1,15,227,8,34
20100816,August 16 2010,Monday,August,2010,201008,Aug2010,2,16,228,8,34
20100817,August 17 2010,Tuesday,August,2010,201008,Aug2010,3,17,229,8,34
20100818,August 18 2010,Wednesday,August,2010,201008,Aug2010,4,18,230,8,34
20100819,August 19 2010,Thursday,August,2010,201008,Aug2010,5,19,231,8,34
20100820,August 20 2010,Friday,August,2010,201008,Aug2010,6,20,232,8,34
20100821,August 21 2010,Saturday,August,2010,201008,Aug2010,7,21,233,8,34
20100822,August 22 2010,Sunday,August,2010,201008,Aug2010,1,22,234,8,35
20100823,August 23 2010,Monday,August,2010,201008,Aug2010,2,23,235,8,35
20100824,August 24 2010,Tuesday,August,2010,201008,Aug2010,3,24,236,8,35
20100825,August 25 2010,Wednesday,August,2010,201008,Aug2010,4,25,237,8,35
20100826,August 26 2010,Thursday,August,2010,201008,Aug2010,5,26,238,8,35
20100827,August 27 2010,Friday,August,2010,201008,Aug2010,6,27,239,8,35
20100828,August 28 2010,Saturday,August,2010,201008,Aug2010,7,28,240,8,35
20100829,August 29 2010,Sunday,August,2010,201008,Aug2010,1,29,241,8,36
20100830,August 30 2010,Monday,August,2010,201008,Aug2010,2,30,242,8,36
20100831,August 31 2010,Tuesday,August,2010,201008,Aug2010,3,31,243,8,36
20100901,September 01 2010,Wednesday,September,2010,201009,Sep2010,4,1,244,9,36
20100902,September 02 2010,Thursday,September,2010,201009,Sep2010,5,2,245,9,36
20100903,September 03 2010,Friday,September,2010,201009,Sep2010,6,3,246,9,36
20100904,September 04 2010,Saturday,September,2010,201009,Sep2010,7,4,247,9,36
20100905,September 05 2010,Sunday,September,2010,201009,Sep2010,1,5,248,9,37
20100906,September 06 2010,Monday,September,2010,201009,Sep2010,2,6,249,9,37
20100907,September 07 2010,Tuesday,September,2010,201009,Sep2010,3,7,250,9,37
20100908,September 08 2010,Wednesday,September,2010,201009,Sep2010,4,8,251,9,37
20100909,September 09 2010,Thursday,September,2010,201009,Sep2010,5,9,252,9,37
20100910,September 10 2010,Friday,September,2010,201009,Sep2010,6,10,253,9,37
20100911,September 11 2010,Saturday,September,2010,201009,Sep2010,7,11,254,9,37
20100912,September 12 2010,Sunday,September,2010,201009,Sep2010,1,12,255,9,38
20100913,September 13 2010,Monday,September,2010,201009,Sep2010,2,13,256,9,38
20100914,September 14 2010,Tuesday,September,2010,201009,Sep2010,3,14,257,9,38
20100915,September 15 2010,Wednesday,September,2010,201009,Sep2010,4,15,258,9,38
20100916,September 16 2010,Thursday,September,2010,201009,Sep2010,5,16,259,9,38
20100917,September 17 2010,Friday,September,2010,201009,Sep2010,6,17,260,9,38
20100918,September 18 2010,Saturday,September,2010,201009,Sep2010,7,18,261,9,38
20100919,September 19 2010,Sunday,September,2010,201009,Sep2010,1,19,262,9,39
20100920,September 20 2010,Monday,September,2010,201009,Sep2010,2,20,263,9,39
20100921,September 21 2010,Tuesday,September,2010,201009,Sep2010,3,21,264,9,39
20100922,September 22 2010,Wednesday,September,2010,201009,Sep2010,4,22,265,9,39
20100923,September 23 2010,Thursday,September,2010,201009,Sep2010,5,23,266,9,39
20100924,September 24 2010,Friday,September,2010,201009,Sep2010,6,24,267,9,39
20100925,September 25 2010,Saturday,September,2010,201009,Sep2010,7,25,268,9,39
20100926,September 26 2010,Sunday,September,2010,201009,Sep2010,1,26,269,9,40
20100927,September 27 2010,Monday,September,2010,201009,Sep2010,2,27,270,9,40
20100928,September 28 2010,Tuesday,September,2010,201009,Sep2010,3,28,271,9,40
20100929,September 29 2010,Wednesday,September,2010,201009,Sep2010,4,29,272,9,40
20100930,September 30 2010,Thursday,September,2010,201009,Sep2010,5,30,273,9,40
20101001,October 01 2010,Friday,October,2010,201010,Oct2010,6,1,274,10,40
20101002,October 02 2010,Saturday,October,2010,201010,Oct2010,7,2,275,10,40
20101003,October 03 2010,Sunday,October,2010,201010,Oct2010,1,3,276,10,41
20101004,October 04 2010,Monday,October,2010,201010,Oct2010,2,4,277,10,41
20101005,October 05 2010,Tuesday,October,2010,201010,Oct2010,3,5,278,10,41
20101006,October 06 2010,Wednesday,October,2010,201010,Oct2010,4,6,279,10,41
20101007,October 07 2010,Thursday,October,2010,201010,Oct2010,5,7,280,10,41
20101008,October 08 2010,Friday,October,2010,201010,Oct2010,6,8,281,10,41
20101009,October 09 2010,Saturday,October,2010,201010,Oct2010,7,9,282,10,41
20101010,October 10 2010,Sunday,October,2010,201010,Oct2010,1,10,283,10,42
20101011,October 11 2010,Monday,October,2010,201010,Oct2010,2,11,284,10,42
20101012,October 12 2010,Tuesday,October,2010,201010,Oct2010,3,12,285,10,42
20101013,October 13 2010,Wednesday,October,2010,201010,Oct2010,4,13,286,10,42
20101014,October 14 2010,Thursday,October,2010,201010,Oct2010,5,14,287,10,42
20101015,October 15 2010,Friday,October,2010,201010,Oct2010,6,15,288,10,42
20101016,October 16 2010,Saturday,October,2010,201010,Oct2010,7,16,289,10,42
20101017,October 17 2010,Sunday,October,2010,201010,Oct2010,1,17,290,10,43
20101018,October 18 2010,Monday,October,2010,201010,Oct2010,2,18,291,10,43
20101019,October 19 2010,Tuesday,October,2010,201010,Oct2010,3,19,292,10,43
20101020,October 20 2010,Wednesday,October,2010,201010,Oct2010,4,20,293,10,43
20101021,October 21 2010,Thursday,October,2010,201010,Oct2010,5,21,294,10,43
20101022,October 22 2010,Friday,October,2010,201010,Oct2010,6,22,295,10,43
20101023,October 23 2010,Saturday,October,2010,201010,Oct2010,7,23,296,10,43
20101024,October 24 2010,Sunday,October,2010,201010,Oct2010,1,24,297,10,44
20101025,October 25 2010,Monday,October,2010,201010,Oct2010,2,25,298,10,44
20101026,October 26 2010,Tuesday,October,2010,201010,Oct2010,3,26,299,10,44
20101027,October 27 2010,Wednesday,October,2010,201010,Oct2010,4,27,300,10,44
20101028,October 28 2010,Thursday,October,2010,201010,Oct2010,5,28,301,10,44
20101029,October 29 2010,Friday,October,2010,201010,Oct2010,6,29,302,10,44
20101030,October 30 2010,Saturday,October,2010,201010,Oct2010,7,30,303,10,44
20101031,October 31 2010,Sunday,October,2010,201010,Oct2010,1,31,304,10,45
20101101,November 01 2010,Monday,November,2010,201011,Nov2010,2,1,305,11,45
20101102,November 02 2010,Tuesday,November,2010,201011,Nov2010,3,2,306,11,45
20101103,November 03 2010,Wednesday,November,2010,201011,Nov2010,4,3,307,11,45
20101104,November 04 2010,Thursday,November,2010,201011,Nov2010,5,4,308,11,45
20101105,November 05 2010,Friday,November,2010,201011,Nov2010,6,5,309,11,45
20101106,November 06 2010,Saturday,November,2010,201011,Nov2010,7,6,310,11,45
20101107,November 07 2010,Sunday,November,2010,201011,Nov2010,1,7,311,11,46
20101108,November 08 2010,Monday,November,2010,201011,Nov2010,2,8,312,11,46
20101109,November 09 2010,Tuesday,November,2010,201011,Nov2010,3,9,313,11,46
20101110,November 10 2010,Wednesday,November,2010,201011,Nov2010,4,10,314,11,46
20101111,November 11 2010,Thursday,November,2010,201011,Nov2010,5,11,315,11,46
20101112,November 12 2010,Friday,November,2010,201011,Nov2010,6,12,316,11,46
20101113,November 13 2010,Saturday,November,2010,201011,Nov2010,7,13,317,11,46
20101114,November 14 2010,Sunday,November,2010,201011,Nov2010,1,14,318,11,47
20101115,November 15 2010,Monday,November,2010,201011,Nov2010,2,15,319,11,47
20101116,November 16 2010,Tuesday,November,2010,201011,Nov2010,3,16,320,11,47
20101117,November 17 2010,Wednesday,November,2010,201011,Nov2010,4,17,321,11,47
20101118,November 18 2010,Thursday,November,2010,201011,Nov2010,5,18,322,11,47
20101119,November 19 2010,Friday,November,2010,201011,Nov2010,6,19,323,11,47
20101120,November 20 2010,Saturday,November,2010,201011,Nov2010,7,20,324,11,47
20101121,November 21 2010,Sunday,November,2010,201011,Nov2010,1,21,325,11,48
20101122,November 22 2010,Monday,November,2010,201011,Nov2010,2,22,326,11,48
20101123,November 23 2010,Tuesday,November,2010,201011,Nov2010,3,23,327,11,48
20101124,November 24 2010,Wednesday,November,2010,201011,Nov2010,4,24,328,11,48
20101125,November 25 2010,Thursday,November,2010,201011,Nov2010,5,25,329,11,48
20101126,November 26 2010,Friday,November,2010,201011,Nov2010,6,26,330,11,48
20101127,November 27 2010,Saturday,November,2010,201011,Nov2010,7,27,331,11,48
20101128,November 28 2010,Sunday,November,2010,201011,Nov2010,1,28,332,11,49
20101129,November 29 2010,Monday,November,2010,201011,Nov2010,2,29,333,11,49
20101130,November 30 2010,Tuesday,November,2010,201011,Nov2010,3,30,334,11,49
20101201,December 01 2010,Wednesday,December,2010,201012,Dec2010,4,1,335,12,49
20101202,December 02 2010,Thursday,December,2010,201012,Dec2010,5,2,336,12,49
20101203,December 03 2010,Friday,December,2010,201012,Dec2010,6,3,337,12,49
20101204,December 04 2010,Saturday,December,2010,201012,Dec2010,7,4,338,12,49
20101205,December 05 2010,Sunday,December,2010,201012,Dec2010,1,5,339,12,50
20101206,December 06 2010,Monday,December,2010,201012,Dec2010,2,6,340,12,50
20101207,December 07 2010,Tuesday,December,2010,201012,Dec2010,3,7,341,12,50
20101208,December 08 2010,Wednesday,December,2010,201012,Dec2010,4,8,342,12,50
20101209,December 09 2010,Thursday,December,2010,201012,Dec2010,5,9,343,12,50
20101210,December 10 2010,Friday,December,2010,201012,Dec2010,6,10,344,12,50
20101211,December 11 2010,Saturday,December,2010,201012,Dec2010,7,11,345,12,50
20101212,December 12 2010,Sunday,December,2010,201012,Dec2010,1,12,346,12,51
20101213,December 13 2010,Monday,December,2010,201012,Dec2010,2,13,347,12,51
